Development_Finance,Tenure,Purchaser,Capital
Private (Domestic),One-Off Builds,Private Individuals,2012.625
Private (Domestic),One-Off Builds,Institutional,
Private (Domestic),One-Off Builds,State,
Private (Domestic),Social Housing,Private Individuals,
Private (Domestic),Social Housing,Institutional,
Private (Domestic),Social Housing,State,0
Private (Domestic),Afforable for sale,Private Individuals,86.18483333
Private (Domestic),Afforable for sale,Institutional,
Private (Domestic),Afforable for sale,State,
Private (Domestic),Affordable Cost Rental,Private Individuals,
Private (Domestic),Affordable Cost Rental,Institutional,0
Private (Domestic),Affordable Cost Rental,State,
Private (Domestic),Private for Sale,Private Individuals,2401.015247
Private (Domestic),Private for Sale,Institutional,
Private (Domestic),Private for Sale,State,
Private (Domestic),Private for Rent (PRS),Private Individuals,
Private (Domestic),Private for Rent (PRS),Institutional,0
Private (Domestic),Private for Rent (PRS),State,
Private (Institutional),One-Off Builds,Private Individuals,
Private (Institutional),One-Off Builds,Institutional,
Private (Institutional),One-Off Builds,State,
Private (Institutional),Social Housing,Private Individuals,
Private (Institutional),Social Housing,Institutional,
Private (Institutional),Social Housing,State,0
Private (Institutional),Afforable for sale,Private Individuals,172.3696667
Private (Institutional),Afforable for sale,Institutional,
Private (Institutional),Afforable for sale,State,
Private (Institutional),Affordable Cost Rental,Private Individuals,
Private (Institutional),Affordable Cost Rental,Institutional,0
Private (Institutional),Affordable Cost Rental,State,
Private (Institutional),Private for Sale,Private Individuals,3176.030494
Private (Institutional),Private for Sale,Institutional,
Private (Institutional),Private for Sale,State,
Private (Institutional),Private for Rent (PRS),Private Individuals,
Private (Institutional),Private for Rent (PRS),Institutional,0
Private (Institutional),Private for Rent (PRS),State,
State Funding,One-Off Builds,Private Individuals,
State Funding,One-Off Builds,Institutional,
State Funding,One-Off Builds,State,
State Funding,Social Housing,Private Individuals,
State Funding,Social Housing,Institutional,
State Funding,Social Housing,State,1666.909388
State Funding,Afforable for sale,Private Individuals,150
State Funding,Afforable for sale,Institutional,
State Funding,Afforable for sale,State,
State Funding,Affordable Cost Rental,Private Individuals,
State Funding,Affordable Cost Rental,Institutional,
State Funding,Affordable Cost Rental,State,1183.56
State Funding,Private for Sale,Private Individuals,
State Funding,Private for Sale,Institutional,
State Funding,Private for Sale,State,
State Funding,Private for Rent (PRS),Private Individuals,
State Funding,Private for Rent (PRS),Institutional,
State Funding,Private for Rent (PRS),State,
