Development_Finance,Tenure,Capital,pathId
Private (Domestic),One-Off Builds,2062.5,PD_OOB_PI
Private (Domestic),Social Housing,545,PD_SH_S
Private (Domestic),Affordable For Sale,1072.560727,PD_AFS_PI
Private (Domestic),Affordable Cost Rental,1072.560727,PD_ACR_I
Private (Domestic),Private For Sale,1945.034513,PD_PFS_PI
Private (Domestic),Private For Rent (PRS),302,PD_PRS_I
Private (Institutional),Social Housing,2077.68218,PI_SH_S
Private (Institutional),Affordable For Sale,2145.121453,PI_AFS_PI
Private (Institutional),Affordable Cost Rental,2145.121453,PI_ACR_I
Private (Institutional),Private For Sale,3890.069027,PI_PFS_PI
Private (Institutional),Private For Rent (PRS),3568.26082,PI_PRS_I
State Funding,Social Housing,2230,SF_SH_S
State Funding,Affordable For Sale,1635,SF_AFS_PI
State Funding,Affordable Cost Rental,1635,SF_ACR_I
