Development_Finance,Tenure,Purchaser,Capital
State Funding,One-Off Builds,State,
State Funding,One-Off Builds,Private Individuals,
State Funding,One-Off Builds,Institutional,
State Funding,Social Housing,State,2230
State Funding,Social Housing,Private Individuals,
State Funding,Social Housing,Institutional,
State Funding,Afforable for sale,State,
State Funding,Afforable for sale,Private Individuals,1635
State Funding,Afforable for sale,Institutional,
State Funding,Affordable Cost Rental,State,
State Funding,Affordable Cost Rental,Private Individuals,
State Funding,Affordable Cost Rental,Institutional,1635
State Funding,Private for Sale,State,
State Funding,Private for Sale,Private Individuals,
State Funding,Private for Sale,Institutional,
State Funding,Private for Rent (PRS),State,
State Funding,Private for Rent (PRS),Private Individuals,
State Funding,Private for Rent (PRS),Institutional,
Private (Domestic),One-Off Builds,State,
Private (Domestic),One-Off Builds,Private Individuals,2062.5
Private (Domestic),One-Off Builds,Institutional,
Private (Domestic),Social Housing,State,545
Private (Domestic),Social Housing,Private Individuals,
Private (Domestic),Social Housing,Institutional,
Private (Domestic),Afforable for sale,State,
Private (Domestic),Afforable for sale,Private Individuals,1072.560727
Private (Domestic),Afforable for sale,Institutional,
Private (Domestic),Affordable Cost Rental,State,
Private (Domestic),Affordable Cost Rental,Private Individuals,
Private (Domestic),Affordable Cost Rental,Institutional,1072.560727
Private (Domestic),Private for Sale,State,
Private (Domestic),Private for Sale,Private Individuals,1945.034513
Private (Domestic),Private for Sale,Institutional,
Private (Domestic),Private for Rent (PRS),State,
Private (Domestic),Private for Rent (PRS),Private Individuals,
Private (Domestic),Private for Rent (PRS),Institutional,302
Private (Institutional),One-Off Builds,State,
Private (Institutional),One-Off Builds,Private Individuals,
Private (Institutional),One-Off Builds,Institutional,
Private (Institutional),Social Housing,State,2077.68218
Private (Institutional),Social Housing,Private Individuals,
Private (Institutional),Social Housing,Institutional,
Private (Institutional),Afforable for sale,State,
Private (Institutional),Afforable for sale,Private Individuals,2145.121453
Private (Institutional),Afforable for sale,Institutional,
Private (Institutional),Affordable Cost Rental,State,
Private (Institutional),Affordable Cost Rental,Private Individuals,
Private (Institutional),Affordable Cost Rental,Institutional,2145.121453
Private (Institutional),Private for Sale,State,
Private (Institutional),Private for Sale,Private Individuals,3890.069027
Private (Institutional),Private for Sale,Institutional,
Private (Institutional),Private for Rent (PRS),State,
Private (Institutional),Private for Rent (PRS),Private Individuals,
Private (Institutional),Private for Rent (PRS),Institutional,3568.26082
